ID,Target
5,C
12,C
41,D
45,D
46,C
48,C
49,C
57,A
64,D
71,B
76,B
78,A
84,A
94,C
95,B
96,D
98,A
101,D
104,B
105,C
106,B
109,D
113,D
123,A
125,C
127,A
139,A
140,A
159,C
161,A
635,A
644,B
649,D
652,B
680,C
683,D
688,C
709,B
710,C
716,B
720,B
727,C
731,B
732,C
745,A
749,A
750,D
751,B
759,A
764,A
767,C
769,B
771,A
772,D
786,A
788,A
790,B
795,C
797,B
798,D
800,B
801,A
806,C
812,A
814,B
818,C
820,C
829,C
985,A
986,B
987,D
988,C
999,D
1010,A
1017,B
1028,D
1029,D
1034,C
1050,B
1052,A
1054,A
1064,A
1068,D
1070,A
1078,C
1082,D
1083,B
1084,D
1088,C
1092,A
1096,D
1097,B
1098,C
1105,B
1114,B
1117,D
1120,A
1122,A
1127,B
1134,A
1136,A
1145,A
1169,A
1170,D
1174,B
1182,B
1186,C
1189,A
1193,D
1204,C
1205,A
1207,C
1390,B
1392,D
1393,D
1394,D
1403,C
1404,C
1408,D
1410,D
1414,B
1417,C
1427,A
1433,D
1434,C
1438,C
1444,A
1446,B
1448,B
1454,A
1455,D
1456,D
1457,B
1459,D
1460,D
1461,B
1469,A
1471,D
1476,C
1479,A
1488,D
1489,B
1493,D
1494,C
1496,A
1497,D
1502,D
1508,C
1514,D
1525,D
1528,C
1538,D
1540,C
1543,C
1544,A
1549,D
1555,C
1557,C
1558,C
1563,D
1569,D
1570,C
1573,D
1576,C
1577,B
1581,A
1586,B
1590,D
1597,B
1602,D
1603,C
1611,B
1616,A
1845,C
1847,B
1849,C
1852,D
1862,A
1866,B
1872,C
1874,D
1877,D
1884,B
1889,D
1890,D
1895,D
1896,C
1898,C
1901,D
1907,C
1918,C
1919,D
1921,B
1926,D
1929,B
1932,C
1934,B
1935,C
1941,D
1943,D
1944,D
1950,D
1952,D
1959,D
1962,D
1971,D
1985,D
1989,D
1993,D
1995,B
2002,D
2004,A
2005,D
2008,D
2011,A
2013,B
2014,D
2017,A
2024,D
2030,C
2031,B
2032,B
2033,D
2036,B
2040,B
2045,A
2048,B
2053,B
2055,D
2061,D
2067,D
2068,D
2073,D
2076,D
2079,C
2089,D
2097,D
2102,A
2107,D
2110,A
2113,A
2135,D
2136,D
2146,B
2148,B
2149,B
5368,A
5374,A
5388,B
5397,D
5399,C
5401,C
5415,C
5421,A
5424,B
5429,A
5431,D
5443,B
5452,D
5457,A
5467,A
5472,D
5474,A
5477,D
5478,A
5479,C
5485,D
5493,A
5500,A
5517,D
5518,B
5524,A
5533,D
5536,A
5539,D
5544,C
5547,D
5555,B
5823,D
5825,D
5829,A
5831,A
5845,B
5846,A
5854,C
5855,C
5856,C
5857,D
5859,A
5868,B
5874,D
5877,D
5882,D
5884,C
5914,D
5918,C
5920,C
5923,A
5924,D
5928,B
5932,B
5938,C
5941,A
5942,C
5945,D
5947,D
5951,C
5958,D
5960,A
5968,A
5970,D
5974,D
5976,D
5981,A
5986,C
5987,D
5991,A
5993,A
5999,D
6012,A
6724,A
6726,A
6728,C
6736,D
6740,C
6744,C
6745,A
6746,D
6748,B
6752,D
6757,C
6763,D
6766,A
6768,D
6780,D
6781,B
6782,B
6786,B
6789,D
6794,A
6797,C
6801,A
6802,D
6803,C
6817,D
6820,D
6824,D
6825,B
6836,B
6837,D
6838,C
6843,C
6849,D
6851,D
6855,B
6865,A
6874,D
6879,A
6882,C
6892,A
6894,D
6897,A
6898,B
6900,D
6903,A
6904,A
6906,B
6908,C
6936,A
6937,B
6946,B
6953,A
6956,B
6959,D
6964,A
6974,D
6976,B
6982,B
6984,B
6986,D
6998,D
7002,B
7003,B
7006,C
7012,D
7017,C
7018,B
7020,D
7025,B
7028,A
7029,D
7033,D
7038,B
7060,D
7061,D
7063,D
7069,D
7076,B
7080,A
7090,B
7092,D
7094,A
7099,B
7103,B
7106,A
7112,A
7123,C
7124,A
7131,D
7137,B
7141,C
7143,B
7150,C
7158,C
7162,D
7175,D
7177,C
7180,D
7182,C
7186,D
7195,C
7200,A
7209,D
7210,A
7214,D
7216,C
7217,B
7229,A
7232,D
7234,D
7237,C
7238,D
7241,B
7253,D
7255,D
7996,C
8005,C
8006,B
8026,A
8029,B
8041,B
8047,C
8054,C
8055,A
8056,D
8059,D
8060,A
8063,C
8073,B
8075,D
8076,A
8080,C
8090,B
11884,A
11885,B
11887,B
11888,B
11898,B
11899,B
11901,D
11910,D
11915,C
11922,A
11925,C
11950,C
11958,D
11986,D
11991,D
11997,D
12001,D
12002,A
12003,B
12005,B
12016,D
12021,A
12022,C
12039,D
12040,D
12052,A
12058,D
12061,B
12062,D
12063,A
12064,C
12065,D
12080,C
12082,C
12083,D
12092,D
12093,C
12098,D
12099,A
12113,D
12114,D
12126,C
12131,D
12133,D
12135,C
12147,A
12149,D
12150,C
12169,D
12175,B
12176,C
12188,D
12201,D
12206,C
12208,B
12212,D
12214,D
12215,A
12220,C
12227,A
12228,B
12230,A
12232,A
12234,B
12258,B
